experiment,kind,members,threshold,eligible_events,recalled_events,event_recall,excluded_event_hits,detector_images,detector_image_hits,eligible_detector_image_hits,detector_image_hit_rate,wall_seconds,mean_inference_ms
baseline@512,single,baseline@512,0.01,104,100,0.9615384615384616,21,429,195,171,0.45454545454545453,13.108943599999748,19.304672494171808
baseline@512,single,baseline@512,0.05,104,99,0.9519230769230769,15,429,172,155,0.40093240093240096,13.108943599999748,19.304672494171808
baseline@512,single,baseline@512,0.1,104,95,0.9134615384615384,12,429,157,143,0.36596736596736595,13.108943599999748,19.304672494171808
baseline@512,single,baseline@512,0.15,104,91,0.875,10,429,146,134,0.34032634032634035,13.108943599999748,19.304672494171808
baseline@512,single,baseline@512,0.2,104,87,0.8365384615384616,10,429,140,128,0.32634032634032634,13.108943599999748,19.304672494171808
baseline@512,single,baseline@512,0.25,104,86,0.8269230769230769,10,429,138,126,0.32167832167832167,13.108943599999748,19.304672494171808
baseline@512,single,baseline@512,0.3,104,84,0.8076923076923077,9,429,129,118,0.3006993006993007,13.108943599999748,19.304672494171808
baseline@512,single,baseline@512,0.4,104,76,0.7307692307692307,9,429,115,104,0.2680652680652681,13.108943599999748,19.304672494171808
baseline@512,single,baseline@512,0.5,104,73,0.7019230769230769,8,429,102,93,0.23776223776223776,13.108943599999748,19.304672494171808
baseline@512,single,baseline@512,0.6,104,63,0.6057692307692307,7,429,89,81,0.20745920745920746,13.108943599999748,19.304672494171808
baseline@640,single,baseline@640,0.01,104,102,0.9807692307692307,29,429,216,183,0.5034965034965035,14.188209699999788,23.988208158507597
baseline@640,single,baseline@640,0.05,104,97,0.9326923076923077,22,429,182,157,0.42424242424242425,14.188209699999788,23.988208158507597
baseline@640,single,baseline@640,0.1,104,95,0.9134615384615384,19,429,170,149,0.3962703962703963,14.188209699999788,23.988208158507597
baseline@640,single,baseline@640,0.15,104,91,0.875,16,429,153,135,0.35664335664335667,14.188209699999788,23.988208158507597
