strategy,threshold,secondary_threshold,eligible_events,recalled_events,event_recall,detector_images,detector_image_hits,detector_image_hit_rate
primary,0.05,0.05,104,97,0.9326923076923077,429,182,0.42424242424242425
primary,0.1,0.1,104,95,0.9134615384615384,429,170,0.3962703962703963
primary,0.15,0.15,104,91,0.875,429,153,0.35664335664335667
primary,0.2,0.2,104,90,0.8653846153846154,429,144,0.3356643356643357
primary,0.25,0.25,104,85,0.8173076923076923,429,134,0.3123543123543124
primary,0.3,0.3,104,79,0.7596153846153846,429,125,0.2913752913752914
primary,0.4,0.4,104,69,0.6634615384615384,429,105,0.24475524475524477
primary,0.5,0.5,104,64,0.6153846153846154,429,91,0.21212121212121213
primary,0.6,0.6,104,60,0.5769230769230769,429,81,0.1888111888111888
secondary,0.05,0.05,104,97,0.9326923076923077,429,183,0.42657342657342656
secondary,0.1,0.1,104,94,0.9038461538461539,429,163,0.37995337995337997
secondary,0.15,0.15,104,91,0.875,429,146,0.34032634032634035
secondary,0.2,0.2,104,89,0.8557692307692307,429,135,0.3146853146853147
secondary,0.25,0.25,104,88,0.8461538461538461,429,128,0.29836829836829837
secondary,0.3,0.3,104,81,0.7788461538461539,429,114,0.26573426573426573
secondary,0.4,0.4,104,73,0.7019230769230769,429,99,0.23076923076923078
secondary,0.5,0.5,104,66,0.6346153846153846,429,87,0.20279720279720279
secondary,0.6,0.6,104,55,0.5288461538461539,429,71,0.1655011655011655
full_ensemble,0.05,0.05,104,100,0.9615384615384616,429,213,0.4965034965034965
full_ensemble,0.1,0.1,104,100,0.9615384615384616,429,198,0.46153846153846156
full_ensemble,0.15,0.15,104,99,0.9519230769230769,429,181,0.4219114219114219
full_ensemble,0.2,0.2,104,99,0.9519230769230769,429,176,0.41025641025641024
full_ensemble,0.25,0.25,104,99,0.9519230769230769,429,169,0.3939393939393939
full_ensemble,0.3,0.3,104,96,0.9230769230769231,429,156,0.36363636363636365
full_ensemble,0.4,0.4,104,89,0.8557692307692307,429,137,0.31934731934731936
full_ensemble,0.5,0.5,104,82,0.7884615384615384,429,122,0.28438228438228436
full_ensemble,0.6,0.6,104,76,0.7307692307692307,429,109,0.2540792540792541
cascade,0.14,0.36,104,100,0.9615384615384616,429,171,0.3986013986013986
