experiment,kind,members,threshold,eligible_events,recalled_events,event_recall,excluded_event_hits,detector_images,detector_image_hits,eligible_detector_image_hits,detector_image_hit_rate,wall_seconds,mean_inference_ms
baseline@512,single,baseline@512,0.01,104,101,0.9711538461538461,21,432,197,173,0.45601851851851855,10.583402100000058,16.380461342603464
baseline@512,single,baseline@512,0.05,104,100,0.9615384615384616,15,432,173,156,0.40046296296296297,10.583402100000058,16.380461342603464
baseline@512,single,baseline@512,0.1,104,96,0.9230769230769231,12,432,158,144,0.36574074074074076,10.583402100000058,16.380461342603464
baseline@512,single,baseline@512,0.14,104,94,0.9038461538461539,10,432,150,138,0.3472222222222222,10.583402100000058,16.380461342603464
baseline@512,single,baseline@512,0.2,104,88,0.8461538461538461,10,432,141,129,0.3263888888888889,10.583402100000058,16.380461342603464
baseline@512,single,baseline@512,0.25,104,87,0.8365384615384616,10,432,139,127,0.32175925925925924,10.583402100000058,16.380461342603464
baseline@512,single,baseline@512,0.3,104,85,0.8173076923076923,9,432,130,119,0.30092592592592593,10.583402100000058,16.380461342603464
baseline@512,single,baseline@512,0.36,104,81,0.7788461538461539,9,432,123,112,0.2847222222222222,10.583402100000058,16.380461342603464
baseline@512,single,baseline@512,0.4,104,76,0.7307692307692307,9,432,115,104,0.2662037037037037,10.583402100000058,16.380461342603464
baseline@512,single,baseline@512,0.5,104,73,0.7019230769230769,8,432,102,93,0.2361111111111111,10.583402100000058,16.380461342603464
baseline@512,single,baseline@512,0.6,104,63,0.6057692307692307,7,432,89,81,0.20601851851851852,10.583402100000058,16.380461342603464
baseline@640,single,baseline@640,0.01,104,103,0.9903846153846154,29,432,218,185,0.5046296296296297,13.593374899999617,23.706415972233792
baseline@640,single,baseline@640,0.05,104,98,0.9423076923076923,22,432,184,159,0.42592592592592593,13.593374899999617,23.706415972233792
baseline@640,single,baseline@640,0.1,104,96,0.9230769230769231,19,432,172,151,0.39814814814814814,13.593374899999617,23.706415972233792
baseline@640,single,baseline@640,0.14,104,94,0.9038461538461539,16,432,158,140,0.36574074074074076,13.593374899999617,23.706415972233792
baseline@640,single,baseline@640,0.2,104,91,0.875,13,432,146,131,0.33796296296296297,13.593374899999617,23.706415972233792
baseline@640,single,baseline@640,0.25,104,86,0.8269230769230769,11,432,135,122,0.3125,13.593374899999617,23.706415972233792
baseline@640,single,baseline@640,0.3,104,80,0.7692307692307693,9,432,126,115,0.2916666666666667,13.593374899999617,23.706415972233792
baseline@640,single,baseline@640,0.36,104,73,0.7019230769230769,9,432,113,102,0.26157407407407407,13.593374899999617,23.706415972233792
