epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.8256,1.69694,6.36917,0.01385,0.00586,0.60423,0.11859,0.06251,1.58226,7.92564,0.01749,0.000544981,0.000544981,0.000544981
2,171.544,1.56569,5.09806,0.01216,0.71294,0.0531,0.28862,0.13861,1.36345,6.9018,0.016,0.00108975,0.00108975,0.00108975
3,253.136,1.51313,4.28419,0.01226,0.36223,0.33102,0.29734,0.13325,1.55921,6.02217,0.01797,0.00162352,0.00162352,0.00162352
4,334.918,1.59889,3.918,0.01312,0.31908,0.49036,0.36319,0.1774,1.6332,4.93047,0.01754,0.00161749,0.00161749,0.00161749
5,416.331,1.58543,3.63816,0.01227,0.39713,0.46927,0.40284,0.2196,1.44974,4.44263,0.01773,0.00160099,0.00160099,0.00160099
6,497.913,1.55979,3.20043,0.0128,0.46718,0.44048,0.4354,0.22353,1.47674,3.90054,0.01939,0.00158448,0.00158448,0.00158448
7,579.259,1.46486,2.9901,0.01229,0.46108,0.48993,0.46738,0.23753,1.43994,3.35592,0.01676,0.00156798,0.00156798,0.00156798
8,661.014,1.48649,2.70319,0.01282,0.45287,0.57266,0.46806,0.22332,1.54894,3.16766,0.01907,0.00155148,0.00155148,0.00155148
9,742.648,1.51446,2.59428,0.01311,0.43189,0.46563,0.43118,0.21748,1.551,2.95541,0.0186,0.00153497,0.00153497,0.00153497
10,823.735,1.4946,2.37004,0.01222,0.46357,0.54895,0.5066,0.26412,1.41638,2.58909,0.01762,0.00151847,0.00151847,0.00151847
11,904.604,1.46355,2.24896,0.01302,0.5304,0.52995,0.53816,0.28853,1.40701,2.41774,0.01774,0.00150197,0.00150197,0.00150197
12,985.884,1.46968,2.09001,0.01186,0.49359,0.59626,0.55213,0.27481,1.41608,2.33719,0.01589,0.00148546,0.00148546,0.00148546
13,1066.96,1.42928,2.04334,0.01149,0.53678,0.58594,0.56179,0.30479,1.45621,2.1226,0.01758,0.00146896,0.00146896,0.00146896
14,1148.15,1.40876,1.96977,0.0111,0.66089,0.57261,0.62374,0.34917,1.30813,1.99079,0.01705,0.00145246,0.00145246,0.00145246
15,1229.21,1.43955,1.93626,0.0114,0.53636,0.65681,0.58819,0.32,1.44513,2.15047,0.01723,0.00143595,0.00143595,0.00143595
16,1310.44,1.39805,1.83985,0.01152,0.63727,0.65153,0.67695,0.38954,1.33037,1.92627,0.01733,0.00141945,0.00141945,0.00141945
17,1391.64,1.36924,1.70329,0.01113,0.65342,0.60687,0.6401,0.35664,1.34075,1.9005,0.01676,0.00140295,0.00140295,0.00140295
18,1473.04,1.40889,1.71045,0.01084,0.68425,0.66129,0.72185,0.40653,1.41572,1.75583,0.01699,0.00138644,0.00138644,0.00138644
19,1554.58,1.38959,1.66956,0.01069,0.71909,0.66156,0.68542,0.39626,1.4102,1.57881,0.01855,0.00136994,0.00136994,0.00136994
20,1635.64,1.37522,1.67783,0.01147,0.65382,0.63225,0.66876,0.36985,1.46839,1.67554,0.0178,0.00135344,0.00135344,0.00135344
21,1716.72,1.31513,1.64523,0.01089,0.62654,0.6637,0.67424,0.40579,1.259,1.63538,0.01558,0.00133693,0.00133693,0.00133693
22,1797.96,1.36103,1.59014,0.01127,0.67674,0.61155,0.67794,0.40656,1.24602,1.57116,0.01631,0.00132043,0.00132043,0.00132043
23,1879,1.29142,1.55707,0.01062,0.62097,0.62169,0.66165,0.3525,1.50632,1.69483,0.01612,0.00130393,0.00130393,0.00130393
24,1959.82,1.35782,1.52187,0.01093,0.70609,0.64216,0.70296,0.41065,1.40885,1.4525,0.01748,0.00128742,0.00128742,0.00128742
25,2040.89,1.35922,1.45875,0.01124,0.68283,0.66565,0.7272,0.41899,1.32037,1.52623,0.01515,0.00127092,0.00127092,0.00127092
26,2121.91,1.30379,1.418,0.01116,0.75117,0.62073,0.74372,0.42006,1.42317,1.41691,0.01716,0.00125442,0.00125442,0.00125442
27,2203.06,1.28282,1.38118,0.01096,0.72558,0.64846,0.73551,0.45674,1.28054,1.4062,0.01478,0.00123791,0.00123791,0.00123791
28,2284.34,1.38808,1.48674,0.01063,0.74606,0.67189,0.74887,0.4478,1.28075,1.44272,0.01669,0.00122141,0.00122141,0.00122141
29,2365.36,1.35044,1.40945,0.01105,0.73182,0.67895,0.74894,0.46677,1.35343,1.3041,0.01615,0.00120491,0.00120491,0.00120491
30,2446.62,1.31473,1.39882,0.01061,0.72587,0.68349,0.758,0.4681,1.28378,1.34212,0.016,0.0011884,0.0011884,0.0011884
31,2527.64,1.31479,1.38787,0.01064,0.71882,0.70437,0.74603,0.47342,1.30267,1.32905,0.01658,0.0011719,0.0011719,0.0011719
32,2608.85,1.27564,1.38826,0.01035,0.73297,0.68474,0.74434,0.4801,1.18421,1.27919,0.01483,0.0011554,0.0011554,0.0011554
33,2689.87,1.26257,1.34711,0.01021,0.80477,0.65775,0.76877,0.47666,1.2929,1.25969,0.01566,0.00113889,0.00113889,0.00113889
34,2770.85,1.2676,1.33193,0.01043,0.66826,0.7018,0.74529,0.48899,1.14855,1.26007,0.01362,0.00112239,0.00112239,0.00112239
35,2851.91,1.28667,1.32753,0.01061,0.71901,0.734,0.76889,0.46784,1.32027,1.15721,0.01473,0.00110589,0.00110589,0.00110589
36,2933.21,1.3162,1.31519,0.01064,0.71388,0.72652,0.7777,0.50647,1.25279,1.25796,0.01568,0.00108938,0.00108938,0.00108938
37,3014.24,1.28013,1.24239,0.00994,0.76234,0.68005,0.77782,0.50841,1.18134,1.1406,0.01386,0.00107288,0.00107288,0.00107288
38,3095.54,1.24436,1.22441,0.00946,0.78717,0.73692,0.82308,0.5094,1.29802,1.10651,0.01428,0.00105638,0.00105638,0.00105638
39,3176.54,1.28672,1.21246,0.00965,0.75555,0.73977,0.77559,0.4969,1.23187,1.17749,0.01484,0.00103987,0.00103987,0.00103987
40,3257.77,1.24965,1.24537,0.00991,0.77291,0.75835,0.81482,0.5254,1.2107,1.10506,0.01309,0.00102337,0.00102337,0.00102337
41,3339.06,1.26443,1.24286,0.00949,0.80223,0.76541,0.83814,0.50183,1.27313,1.18874,0.01388,0.00100687,0.00100687,0.00100687
42,3420.26,1.20956,1.24438,0.00957,0.84342,0.70946,0.82913,0.53423,1.22827,1.08654,0.01505,0.000990365,0.000990365,0.000990365
43,3501.21,1.24249,1.25336,0.00954,0.77457,0.71609,0.79873,0.52165,1.11972,1.12485,0.0134,0.000973861,0.000973861,0.000973861
44,3582.33,1.26231,1.19949,0.00963,0.69788,0.7138,0.78857,0.46993,1.27847,1.12673,0.0146,0.000957358,0.000957358,0.000957358
45,3663.34,1.24514,1.19461,0.00967,0.78816,0.76807,0.84231,0.55534,1.17254,1.00663,0.01447,0.000940855,0.000940855,0.000940855
46,3744.56,1.23329,1.15114,0.00929,0.7853,0.79313,0.82422,0.54942,1.15257,1.04824,0.0138,0.000924352,0.000924352,0.000924352
47,3825.72,1.22035,1.14021,0.0094,0.72677,0.78918,0.80555,0.51766,1.20059,1.14829,0.01389,0.000907848,0.000907848,0.000907848
48,3906.64,1.16794,1.13903,0.00899,0.79467,0.73716,0.80882,0.54866,1.13759,1.07899,0.01416,0.000891345,0.000891345,0.000891345
49,3987.55,1.22532,1.12716,0.00989,0.80712,0.70858,0.79133,0.54275,1.14009,1.0387,0.01362,0.000874842,0.000874842,0.000874842
50,4068.67,1.21992,1.13425,0.00953,0.8424,0.70253,0.80779,0.54876,1.08193,1.09037,0.01174,0.000858338,0.000858338,0.000858338
51,4149.72,1.2162,1.1262,0.00999,0.79796,0.7486,0.82501,0.56165,1.08457,1.12005,0.0118,0.000841835,0.000841835,0.000841835
52,4231.37,1.16863,1.1597,0.00933,0.7372,0.80286,0.81918,0.55377,1.08664,1.04333,0.01314,0.000825332,0.000825332,0.000825332
53,4312.7,1.14393,1.08328,0.00881,0.83592,0.76459,0.83917,0.56308,1.10771,0.95715,0.01344,0.000808828,0.000808828,0.000808828
54,4393.7,1.19372,1.10269,0.00947,0.7992,0.79273,0.83628,0.53928,1.18163,0.94607,0.01553,0.000792325,0.000792325,0.000792325
55,4474.84,1.18936,1.0556,0.00932,0.78681,0.74096,0.82811,0.53231,1.20176,1.02458,0.01344,0.000775822,0.000775822,0.000775822
56,4555.98,1.17636,1.09417,0.00905,0.80739,0.743,0.83334,0.57159,1.10111,1.00659,0.01328,0.000759318,0.000759318,0.000759318
57,4637.07,1.15864,1.0809,0.00889,0.81732,0.73756,0.83623,0.56723,1.06689,1.02628,0.01328,0.000742815,0.000742815,0.000742815
58,4718.28,1.15708,1.00923,0.00889,0.82894,0.757,0.85161,0.57882,1.10767,0.92026,0.01249,0.000726312,0.000726312,0.000726312
59,4799.8,1.17262,1.07829,0.00872,0.81388,0.76961,0.85848,0.58179,1.11835,0.89098,0.01315,0.000709809,0.000709809,0.000709809
60,4881.34,1.15319,1.01096,0.00854,0.84332,0.76514,0.85588,0.58712,1.0866,0.90276,0.01279,0.000693305,0.000693305,0.000693305
61,4962.64,1.14354,0.98609,0.00874,0.83674,0.79032,0.86654,0.58793,1.12759,0.88173,0.01352,0.000676802,0.000676802,0.000676802
62,5044.16,1.14,0.95897,0.00871,0.78095,0.78267,0.83478,0.59259,1.07174,0.91243,0.01143,0.000660299,0.000660299,0.000660299
63,5125.57,1.10423,0.98318,0.00828,0.80463,0.80543,0.85281,0.61789,1.00307,0.79968,0.01249,0.000643795,0.000643795,0.000643795
64,5206.59,1.11444,1.01278,0.00851,0.83999,0.77137,0.86894,0.61601,1.01444,0.79794,0.01292,0.000627292,0.000627292,0.000627292
65,5287.68,1.11356,1.01187,0.00798,0.7914,0.80543,0.86944,0.62152,1.01753,0.80691,0.01243,0.000610789,0.000610789,0.000610789
66,5369.15,1.06002,0.943,0.00821,0.81466,0.78678,0.86782,0.62559,1.05393,0.82459,0.01265,0.000594286,0.000594286,0.000594286
