epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8668,1.80915,2.58509,15.7886,0.02038,4.36168,0.48332,0.26348,0.27592,0.10847,0.30229,0.2096,0.18527,0.07183,1.7163,2.10833,15.0806,0.02261,0,0.000542437,0.000542437,0.000542437
2,148.861,1.80692,2.00367,8.6193,0.02131,2.20808,0.51968,0.49569,0.43785,0.1661,0.44481,0.47937,0.34597,0.1274,1.85341,2.14006,10.1611,0.026,0,0.00109448,0.00109448,0.00109448
3,229.629,1.93753,1.94589,7.39436,0.02271,1.60127,0.37292,0.47083,0.32236,0.10171,0.43908,0.48517,0.39718,0.1471,2.24519,2.26157,7.93525,0.03624,0,0.00164285,0.00164285,0.00164285
4,262.51,1.97379,1.8968,6.73697,0.02239,1.03409,0.29772,0.23209,0.20003,0.06193,0.34956,0.22818,0.24806,0.0873,2.32231,2.24426,8.42858,0.03458,0,0.0016505,0.0016505,0.0016505
5,306.156,2.06948,1.79596,6.20786,0.02295,1.12231,0.25954,0.26748,0.17414,0.0498,0.37983,0.41607,0.31926,0.13629,2.20832,1.86453,9.27773,0.0329,0,0.001645,0.001645,0.001645
6,336.479,2.07141,1.88008,6.6223,0.0244,1.14175,0.32645,0.36345,0.33575,0.12098,0.33355,0.38688,0.34336,0.15617,2.11228,3.20033,7.95593,0.03182,0,0.00163949,0.00163949,0.00163949
7,372.217,2.01932,1.79711,6.23019,0.02266,1.01422,0.51516,0.48107,0.43717,0.15945,0.53961,0.46118,0.44424,0.17074,2.05386,1.59282,7.85163,0.0289,0,0.00163399,0.00163399,0.00163399
8,400.18,1.92532,1.71081,6.03828,0.02203,1.05292,0.44395,0.44484,0.39703,0.16679,0.43556,0.45324,0.42352,0.17096,1.96976,1.7802,6.97891,0.02625,0,0.00162849,0.00162849,0.00162849
9,429.846,1.909,1.71468,5.84347,0.02264,0.946,0.49136,0.45211,0.44432,0.18021,0.4929,0.53038,0.47428,0.19336,2.0132,1.54131,6.22296,0.02927,0,0.00162299,0.00162299,0.00162299
10,458.213,1.91326,1.70614,5.34773,0.02142,0.92774,0.51302,0.50054,0.48422,0.18469,0.54249,0.55139,0.51015,0.21583,2.01372,1.58613,5.41303,0.03225,0,0.00161749,0.00161749,0.00161749
11,485.972,2.00879,1.76859,5.47546,0.02259,0.93094,0.46657,0.52839,0.44868,0.17676,0.54169,0.55624,0.55107,0.24476,2.14708,1.54258,5.82453,0.03149,0,0.00161199,0.00161199,0.00161199
12,516.257,1.90855,1.65424,5.49168,0.02138,0.91668,0.49603,0.56949,0.53322,0.2341,0.54704,0.56066,0.55493,0.24647,1.83481,1.61692,5.19217,0.02601,0,0.00160649,0.00160649,0.00160649
13,559.548,1.86123,1.57693,5.13674,0.02057,0.84634,0.478,0.56222,0.48291,0.19989,0.56972,0.61926,0.58739,0.24308,1.87382,1.6636,5.79028,0.02724,0,0.00160099,0.00160099,0.00160099
14,627.567,1.89849,1.6889,5.14412,0.02126,0.76348,0.52607,0.58117,0.54817,0.24875,0.60816,0.56558,0.59152,0.27009,1.90377,1.57479,5.22315,0.02786,0,0.00159549,0.00159549,0.00159549
15,663.584,1.78436,1.59265,4.94407,0.01947,0.7651,0.59651,0.54498,0.58112,0.26089,0.61283,0.57902,0.59039,0.28036,1.81573,1.57923,4.59486,0.0243,0,0.00158998,0.00158998,0.00158998
16,692.808,1.81239,1.68245,4.79778,0.02021,0.74555,0.53577,0.57075,0.55551,0.23423,0.56571,0.59839,0.59606,0.26677,1.74713,1.53846,5.27726,0.02551,0,0.00158448,0.00158448,0.00158448
17,723.195,1.79602,1.68461,4.78444,0.02048,0.6973,0.5524,0.57114,0.6041,0.25678,0.57069,0.58252,0.63222,0.29468,1.70792,1.49718,5.1973,0.02374,0,0.00157898,0.00157898,0.00157898
18,751.156,1.71558,1.5,4.75072,0.01881,0.72861,0.47906,0.57284,0.57766,0.26106,0.45674,0.55633,0.51207,0.26502,1.7204,1.54004,4.75127,0.02407,0,0.00157348,0.00157348,0.00157348
19,781.831,1.764,1.60568,4.84749,0.01875,0.7612,0.629,0.54481,0.61542,0.25597,0.66155,0.58189,0.66944,0.29732,1.81288,1.49666,4.58619,0.02833,0,0.00156798,0.00156798,0.00156798
20,810.157,1.79807,1.54216,4.71135,0.02,0.78054,0.64323,0.57342,0.61156,0.28442,0.65099,0.57983,0.60876,0.28666,1.66309,1.57509,4.46348,0.02479,0,0.00156248,0.00156248,0.00156248
21,841.174,1.72008,1.59266,4.68801,0.02008,0.75854,0.58821,0.58764,0.60324,0.26316,0.58782,0.6314,0.60271,0.28726,1.67688,1.54169,5.2509,0.02547,0,0.00155698,0.00155698,0.00155698
22,872.142,1.74494,1.54181,4.64169,0.01994,0.78055,0.5567,0.55139,0.56305,0.26627,0.62473,0.6037,0.61092,0.27766,1.7802,1.52302,4.6318,0.02891,0,0.00155148,0.00155148,0.00155148
23,899.912,1.73739,1.46421,4.71518,0.01996,0.72517,0.50985,0.55331,0.51549,0.24039,0.50772,0.53081,0.47463,0.21756,1.82799,2.2739,5.12679,0.0267,0,0.00154598,0.00154598,0.00154598
24,927.034,1.75271,1.50126,4.48193,0.01967,0.73327,0.53637,0.60744,0.61136,0.29843,0.55404,0.66548,0.61345,0.29626,1.66949,1.53134,4.18549,0.02487,0,0.00154047,0.00154047,0.00154047
25,956.105,1.74443,1.51859,4.46321,0.0199,0.74598,0.5914,0.56556,0.58351,0.2522,0.63683,0.56777,0.61776,0.29165,1.90342,1.49827,4.33605,0.03011,0,0.00153497,0.00153497,0.00153497
26,984.196,1.89307,1.4974,4.59351,0.0225,0.79905,0.66593,0.619,0.6147,0.27039,0.65454,0.60839,0.58571,0.28612,1.79835,1.49246,4.48658,0.02745,0,0.00152947,0.00152947,0.00152947
27,1011.77,1.69046,1.56981,4.52129,0.01895,0.76801,0.60722,0.65741,0.6494,0.3119,0.68555,0.61803,0.6812,0.33002,1.72192,1.38306,4.4591,0.0273,0,0.00152397,0.00152397,0.00152397
28,1039.65,1.71596,1.47695,4.45917,0.01968,0.71262,0.55257,0.62529,0.61019,0.29078,0.65929,0.6637,0.68563,0.33273,1.68889,1.3931,4.86132,0.0245,0,0.00151847,0.00151847,0.00151847
29,1067.51,1.63804,1.37235,4.14099,0.01701,0.66609,0.69163,0.55397,0.66292,0.33128,0.53494,0.71841,0.64949,0.33219,1.63317,1.42003,4.61941,0.0225,0,0.00151297,0.00151297,0.00151297
30,1095.19,1.64296,1.44362,4.10346,0.01931,0.65707,0.66961,0.58467,0.637,0.3124,0.63004,0.61684,0.63455,0.31312,1.5782,1.4998,4.30536,0.02209,0,0.00150747,0.00150747,0.00150747
31,1123,1.68364,1.40313,4.24895,0.01748,0.72872,0.62119,0.64313,0.62337,0.28429,0.63555,0.63672,0.61797,0.30704,1.72943,1.35421,4.17276,0.02337,0,0.00150197,0.00150197,0.00150197
32,1150.73,1.68987,1.40861,4.29444,0.0182,0.65008,0.56809,0.63807,0.63835,0.29835,0.60446,0.66392,0.63609,0.32195,1.58702,1.46641,4.80179,0.02071,0,0.00149647,0.00149647,0.00149647
