epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,75.4483,2.36181,3.61027,6.3534,0.02091,7.82496,0.00248,0.25248,0.01614,0.01187,0.00248,0.25867,0.01718,0.00991,2.04282,2.80262,8.58516,0.02703,0,3.334e-05,3.334e-05,3.334e-05
2,130.103,2.44285,3.31545,7.07623,0.02584,7.61432,0.00248,0.32498,0.02129,0.01583,0.00259,0.33053,0.02198,0.01284,1.76032,2.42923,8.15855,0.02228,0,8.25248e-05,8.25248e-05,8.25248e-05
3,171.907,2.08611,2.65885,6.27125,0.01727,7.34828,0.00285,0.38225,0.03118,0.01811,0.00372,0.48373,0.02795,0.01578,1.82429,2.30752,8.0453,0.02106,0,0.000130719,0.000130719,0.000130719
4,212.617,1.70943,2.17987,6.22355,0.01442,7.14463,0.00306,0.41031,0.03788,0.02101,0.00465,0.58409,0.03604,0.01864,2.21957,2.34408,8.37661,0.02754,0,0.000177924,0.000177924,0.000177924
5,253.213,1.61121,2.19894,5.82156,0.01216,6.5676,0.00435,0.50539,0.05251,0.02769,0.00563,0.60025,0.04912,0.02719,2.0888,2.35275,8.2564,0.02697,0,0.000224138,0.000224138,0.000224138
6,292.651,1.3685,1.88721,5.47771,0.01004,6.06625,0.00464,0.56863,0.06707,0.03795,0.00557,0.66591,0.06013,0.03055,1.92604,2.21066,7.97807,0.02335,0,0.000269362,0.000269362,0.000269362
7,332.512,1.41825,2.05781,5.36054,0.01054,5.48993,0.00503,0.62368,0.08379,0.04642,0.006,0.71213,0.07524,0.03014,1.92425,1.99734,8.02273,0.02342,0,0.000313596,0.000313596,0.000313596
8,373.186,1.51085,2.05538,4.97755,0.01081,5.06234,0.00573,0.69376,0.1037,0.05509,0.00626,0.73578,0.11048,0.04088,1.92127,1.97418,8.01554,0.02365,0,0.00035684,0.00035684,0.00035684
9,413.666,1.61888,2.04329,5.1321,0.01221,4.5763,0.00634,0.67033,0.11275,0.05829,0.0072,0.74219,0.12909,0.05208,1.58496,1.94892,7.62875,0.01869,0,0.000399093,0.000399093,0.000399093
10,453.802,1.3857,1.75463,5.03375,0.0113,4.17788,0.00797,0.6595,0.10849,0.05276,0.00877,0.72738,0.11386,0.05125,1.73076,1.95135,7.64201,0.01878,0,0.000440356,0.000440356,0.000440356
11,493.644,1.43093,1.77083,4.61426,0.0108,3.67322,0.00939,0.70217,0.14455,0.07797,0.01039,0.76783,0.1404,0.07243,1.42132,1.8222,7.31195,0.01477,0,0.000480629,0.000480629,0.000480629
12,532.812,1.346,2.1377,4.76738,0.00981,3.41974,0.01048,0.69597,0.15305,0.07033,0.01134,0.74041,0.14665,0.06654,1.67523,1.75006,7.58151,0.01782,0,0.000519912,0.000519912,0.000519912
13,572.504,1.39217,1.6328,4.45995,0.01026,3.09046,0.01012,0.68094,0.16023,0.08052,0.01109,0.76384,0.20864,0.09016,1.52388,1.77556,7.39792,0.01671,0,0.000558205,0.000558205,0.000558205
14,611.848,1.39378,2.04323,4.49566,0.01056,2.94676,0.01152,0.67033,0.17197,0.07814,0.01238,0.72339,0.18078,0.07701,1.64724,1.84014,7.40147,0.01749,0,0.000595507,0.000595507,0.000595507
15,651.718,1.47912,1.79327,4.3629,0.01078,2.7649,0.01119,0.68337,0.16875,0.08627,0.01164,0.69597,0.17975,0.08552,1.46436,1.96237,7.0808,0.01621,0,0.00063182,0.00063182,0.00063182
16,690.86,1.41251,1.64904,4.232,0.01088,2.47307,0.0124,0.69818,0.19001,0.09645,0.01345,0.74262,0.19566,0.09042,1.3447,1.83565,6.93973,0.01457,0,0.000667142,0.000667142,0.000667142
17,730.211,1.53553,2.00224,4.03277,0.01198,2.20911,0.01347,0.73002,0.21918,0.12143,0.01458,0.78087,0.20914,0.1047,1.27407,1.72334,6.87496,0.01403,0,0.000701474,0.000701474,0.000701474
18,769.922,1.35036,1.67554,3.62897,0.00997,1.91906,0.0147,0.77025,0.21486,0.12128,0.0155,0.77203,0.1977,0.09817,1.29082,1.70873,6.7515,0.01414,0,0.000734815,0.000734815,0.000734815
19,812.083,1.37518,1.82378,3.68035,0.00978,1.87359,0.01421,0.76584,0.22787,0.12617,0.01452,0.76783,0.21,0.107,1.27693,1.73648,6.68365,0.01351,0,0.000767167,0.000767167,0.000767167
20,851.203,1.48088,1.80421,3.86879,0.01162,1.88477,0.01493,0.77004,0.23922,0.12148,0.01532,0.79126,0.24621,0.12834,1.28148,1.70924,6.52554,0.01432,0,0.000798528,0.000798528,0.000798528
