strategy,threshold,tp,fp,fn,tn,precision,recall,specificity,false_positive_rate,accuracy
primary,0.05,68,5,1,9,0.9315068493150684,0.9855072463768116,0.6428571428571429,0.3571428571428571,0.927710843373494
primary,0.1,68,4,1,10,0.9444444444444444,0.9855072463768116,0.7142857142857143,0.2857142857142857,0.9397590361445783
primary,0.15,68,3,1,11,0.9577464788732394,0.9855072463768116,0.7857142857142857,0.2142857142857143,0.9518072289156626
primary,0.2,68,3,1,11,0.9577464788732394,0.9855072463768116,0.7857142857142857,0.2142857142857143,0.9518072289156626
primary,0.25,67,3,2,11,0.9571428571428572,0.9710144927536232,0.7857142857142857,0.2142857142857143,0.9397590361445783
primary,0.3,65,3,4,11,0.9558823529411765,0.9420289855072463,0.7857142857142857,0.2142857142857143,0.9156626506024096
primary,0.4,65,3,4,11,0.9558823529411765,0.9420289855072463,0.7857142857142857,0.2142857142857143,0.9156626506024096
primary,0.5,65,3,4,11,0.9558823529411765,0.9420289855072463,0.7857142857142857,0.2142857142857143,0.9156626506024096
primary,0.6,65,3,4,11,0.9558823529411765,0.9420289855072463,0.7857142857142857,0.2142857142857143,0.9156626506024096
secondary,0.05,66,4,3,10,0.9428571428571428,0.9565217391304348,0.7142857142857143,0.2857142857142857,0.9156626506024096
secondary,0.1,64,3,5,11,0.9552238805970149,0.927536231884058,0.7857142857142857,0.2142857142857143,0.9036144578313253
secondary,0.15,62,3,7,11,0.9538461538461539,0.8985507246376812,0.7857142857142857,0.2142857142857143,0.8795180722891566
secondary,0.2,62,3,7,11,0.9538461538461539,0.8985507246376812,0.7857142857142857,0.2142857142857143,0.8795180722891566
secondary,0.25,59,3,10,11,0.9516129032258065,0.855072463768116,0.7857142857142857,0.2142857142857143,0.8433734939759037
secondary,0.3,59,2,10,12,0.9672131147540983,0.855072463768116,0.8571428571428571,0.1428571428571429,0.8554216867469879
secondary,0.4,58,1,11,13,0.9830508474576272,0.8405797101449275,0.9285714285714286,0.0714285714285714,0.8554216867469879
secondary,0.5,51,1,18,13,0.9807692307692307,0.7391304347826086,0.9285714285714286,0.0714285714285714,0.7710843373493976
secondary,0.6,45,0,24,14,1.0,0.6521739130434783,1.0,0.0,0.7108433734939759
full_ensemble,0.05,68,6,1,8,0.918918918918919,0.9855072463768116,0.5714285714285714,0.4285714285714286,0.9156626506024096
full_ensemble,0.1,68,6,1,8,0.918918918918919,0.9855072463768116,0.5714285714285714,0.4285714285714286,0.9156626506024096
full_ensemble,0.15,68,5,1,9,0.9315068493150684,0.9855072463768116,0.6428571428571429,0.3571428571428571,0.927710843373494
full_ensemble,0.2,68,5,1,9,0.9315068493150684,0.9855072463768116,0.6428571428571429,0.3571428571428571,0.927710843373494
full_ensemble,0.25,68,5,1,9,0.9315068493150684,0.9855072463768116,0.6428571428571429,0.3571428571428571,0.927710843373494
full_ensemble,0.3,67,4,2,10,0.9436619718309859,0.9710144927536232,0.7142857142857143,0.2857142857142857,0.927710843373494
full_ensemble,0.4,67,3,2,11,0.9571428571428572,0.9710144927536232,0.7857142857142857,0.2142857142857143,0.9397590361445783
full_ensemble,0.5,67,3,2,11,0.9571428571428572,0.9710144927536232,0.7857142857142857,0.2142857142857143,0.9397590361445783
full_ensemble,0.6,66,3,3,11,0.9565217391304348,0.9565217391304348,0.7857142857142857,0.2142857142857143,0.927710843373494
cascade,0.25,68,5,1,9,0.9315068493150684,0.9855072463768116,0.6428571428571429,0.3571428571428571,0.927710843373494
