strategy,threshold,secondary_threshold,eligible_events,recalled_events,event_recall,detector_images,detector_image_hits,detector_image_hit_rate
primary,0.05,0.05,104,98,0.9423076923076923,432,184,0.42592592592592593
primary,0.1,0.1,104,96,0.9230769230769231,432,172,0.39814814814814814
primary,0.15,0.15,104,92,0.8846153846153846,432,155,0.3587962962962963
primary,0.2,0.2,104,91,0.875,432,146,0.33796296296296297
primary,0.25,0.25,104,86,0.8269230769230769,432,135,0.3125
primary,0.3,0.3,104,80,0.7692307692307693,432,126,0.2916666666666667
primary,0.4,0.4,104,69,0.6634615384615384,432,105,0.24305555555555555
primary,0.5,0.5,104,64,0.6153846153846154,432,91,0.21064814814814814
primary,0.6,0.6,104,60,0.5769230769230769,432,81,0.1875
secondary,0.05,0.05,104,98,0.9423076923076923,432,184,0.42592592592592593
secondary,0.1,0.1,104,95,0.9134615384615384,432,164,0.37962962962962965
secondary,0.15,0.15,104,91,0.875,432,146,0.33796296296296297
secondary,0.2,0.2,104,89,0.8557692307692307,432,135,0.3125
secondary,0.25,0.25,104,88,0.8461538461538461,432,128,0.2962962962962963
secondary,0.3,0.3,104,81,0.7788461538461539,432,114,0.2638888888888889
secondary,0.4,0.4,104,73,0.7019230769230769,432,99,0.22916666666666666
secondary,0.5,0.5,104,66,0.6346153846153846,432,87,0.2013888888888889
secondary,0.6,0.6,104,55,0.5288461538461539,432,71,0.16435185185185186
full_ensemble,0.05,0.05,104,101,0.9711538461538461,432,215,0.4976851851851852
full_ensemble,0.1,0.1,104,101,0.9711538461538461,432,200,0.46296296296296297
full_ensemble,0.15,0.15,104,100,0.9615384615384616,432,183,0.4236111111111111
full_ensemble,0.2,0.2,104,100,0.9615384615384616,432,178,0.41203703703703703
full_ensemble,0.25,0.25,104,100,0.9615384615384616,432,170,0.39351851851851855
full_ensemble,0.3,0.3,104,97,0.9326923076923077,432,157,0.36342592592592593
full_ensemble,0.4,0.4,104,89,0.8557692307692307,432,137,0.31712962962962965
full_ensemble,0.5,0.5,104,82,0.7884615384615384,432,122,0.2824074074074074
full_ensemble,0.6,0.6,104,76,0.7307692307692307,432,109,0.2523148148148148
cascade,0.14,0.36,104,101,0.9711538461538461,432,173,0.40046296296296297
